customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,paperless_billing,payment_method,internet_service,online_security,tech_support,customer_service_calls,monthly_charges,total_charges,churn
CUST_0001,Male,0,No,No,25,Two-Year,No,Bank Transfer (automatic),No,No internet service,No internet service,4,19.35,499.34,0
CUST_0002,Female,0,No,No,53,Two-Year,Yes,Bank Transfer (automatic),Fiber Optic,Yes,No,2,82.65,4461.48,0
CUST_0003,Female,0,Yes,No,61,Month-to-Month,No,Bank Transfer (automatic),DSL,No,Yes,2,61.91,3765.74,0
CUST_0004,Male,0,Yes,No,28,One-Year,No,Bank Transfer (automatic),DSL,No,Yes,1,56.47,1565.93,0
CUST_0005,Female,0,Yes,Yes,18,One-Year,Yes,Mailed Check,DSL,Yes,Yes,1,68.87,1277.64,0
CUST_0006,Female,0,No,No,12,Month-to-Month,Yes,Bank Transfer (automatic),Fiber Optic,Yes,Yes,1,94.54,1103.36,1
CUST_0007,Male,0,No,No,67,Two-Year,Yes,Credit Card (automatic),No,No internet service,No internet service,1,20.81,1384.29,0
CUST_0008,Male,0,Yes,Yes,61,Month-to-Month,Yes,Electronic Check,Fiber Optic,No,No,3,65.65,4031.43,0
CUST_0009,Male,0,Yes,No,15,One-Year,No,Bank Transfer (automatic),No,No internet service,No internet service,4,20.65,320.03,0
CUST_0010,Female,0,Yes,No,33,Month-to-Month,No,Electronic Check,Fiber Optic,No,No,1,71.74,2337.56,0
CUST_0011,Male,0,No,Yes,7,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,No,Yes,0,75.55,531.42,1
CUST_0012,Female,0,No,No,60,Two-Year,No,Electronic Check,Fiber Optic,No,Yes,1,85.46,5014.36,0
CUST_0013,Male,0,No,No,62,One-Year,Yes,Mailed Check,Fiber Optic,No,Yes,1,85.66,5489.85,0
CUST_0014,Female,0,Yes,No,42,One-Year,Yes,Electronic Check,Fiber Optic,No,Yes,1,83.01,3585.97,0
CUST_0015,Male,0,No,No,35,Two-Year,No,Electronic Check,Fiber Optic,No,Yes,5,76.62,2767.54,0
CUST_0016,Female,0,Yes,No,50,Two-Year,Yes,Mailed Check,No,No internet service,No internet service,1,18.5,884.07,0
CUST_0017,Female,0,No,No,38,One-Year,No,Mailed Check,DSL,No,No,1,35.7,1354.82,0
CUST_0018,Female,0,Yes,Yes,23,Month-to-Month,No,Mailed Check,Fiber Optic,Yes,Yes,3,92.57,2051.58,0
CUST_0019,Female,0,No,No,63,One-Year,Yes,Electronic Check,Fiber Optic,Yes,No,2,78.35,5021.82,0
CUST_0020,Male,0,No,No,31,One-Year,Yes,Credit Card (automatic),DSL,Yes,No,3,56.73,1725.46,0
CUST_0021,Female,0,No,No,47,Two-Year,No,Electronic Check,Fiber Optic,No,Yes,0,86.01,4153.47,0
CUST_0022,Male,0,No,No,35,Month-to-Month,Yes,Credit Card (automatic),No,No internet service,No internet service,2,18.5,619.34,0
CUST_0023,Male,0,Yes,No,9,Month-to-Month,No,Bank Transfer (automatic),DSL,Yes,No,4,58.64,528.46,0
CUST_0024,Female,0,Yes,No,38,Month-to-Month,Yes,Electronic Check,DSL,No,Yes,2,56.65,2071.69,0
CUST_0025,Male,0,No,No,26,Month-to-Month,Yes,Mailed Check,DSL,No,No,1,41.38,1082.11,0
CUST_0026,Female,0,Yes,Yes,9,Month-to-Month,Yes,Credit Card (automatic),DSL,Yes,No,0,62.64,569.81,0
CUST_0027,Female,0,Yes,No,36,One-Year,No,Bank Transfer (automatic),Fiber Optic,Yes,Yes,2,97.31,3489.9,0
CUST_0028,Male,0,Yes,Yes,8,Month-to-Month,Yes,Electronic Check,Fiber Optic,No,No,0,65.57,513.0,0
CUST_0029,Female,0,No,No,41,Two-Year,Yes,Mailed Check,Fiber Optic,No,No,1,71.79,2805.74,0
CUST_0030,Male,0,Yes,Yes,8,Month-to-Month,Yes,Mailed Check,DSL,Yes,No,0,56.17,456.64,0
CUST_0031,Male,0,Yes,Yes,18,One-Year,Yes,Credit Card (automatic),DSL,Yes,No,0,59.05,1102.27,0
CUST_0032,Male,1,Yes,No,21,One-Year,Yes,Credit Card (automatic),DSL,Yes,No,2,51.64,1109.78,0
CUST_0033,Female,0,Yes,Yes,36,Two-Year,Yes,Electronic Check,Fiber Optic,Yes,No,2,80.61,3016.01,0
CUST_0034,Female,0,No,No,69,One-Year,Yes,Electronic Check,Fiber Optic,No,No,2,71.41,5138.92,0
CUST_0035,Female,0,No,No,35,Month-to-Month,Yes,Electronic Check,Fiber Optic,No,Yes,1,77.65,2704.04,0
CUST_0036,Female,0,No,No,8,Month-to-Month,Yes,Credit Card (automatic),DSL,No,Yes,3,58.04,473.51,0
CUST_0037,Male,0,Yes,No,13,Month-to-Month,Yes,Bank Transfer (automatic),No,No internet service,No internet service,3,18.66,240.09,1
CUST_0038,Male,0,No,No,7,Month-to-Month,Yes,Credit Card (automatic),DSL,Yes,No,1,57.18,417.05,1
CUST_0039,Female,0,No,Yes,18,One-Year,Yes,Mailed Check,No,No internet service,No internet service,0,24.08,436.17,0
CUST_0040,Male,0,Yes,Yes,9,Month-to-Month,Yes,Bank Transfer (automatic),No,No internet service,No internet service,2,30.83,284.47,1
CUST_0041,Male,0,No,No,10,Month-to-Month,No,Electronic Check,DSL,Yes,Yes,1,69.31,659.45,1
CUST_0042,Male,0,No,No,17,Two-Year,Yes,Credit Card (automatic),Fiber Optic,Yes,No,2,81.25,1391.69,0
CUST_0043,Female,0,No,No,20,Month-to-Month,No,Mailed Check,Fiber Optic,No,Yes,1,89.72,1837.82,0
CUST_0044,Female,0,No,No,6,Month-to-Month,Yes,Credit Card (automatic),Fiber Optic,No,No,1,74.53,436.31,1
CUST_0045,Male,0,Yes,No,59,Two-Year,No,Electronic Check,No,No internet service,No internet service,3,27.11,1521.81,0
CUST_0046,Male,0,Yes,Yes,59,Month-to-Month,No,Bank Transfer (automatic),Fiber Optic,Yes,No,1,82.95,5013.29,0
CUST_0047,Female,0,No,No,24,Month-to-Month,Yes,Mailed Check,Fiber Optic,No,Yes,0,85.27,2013.34,0
CUST_0048,Female,0,Yes,No,58,One-Year,No,Electronic Check,No,No internet service,No internet service,0,20.19,1162.68,0
CUST_0049,Male,0,Yes,Yes,52,One-Year,Yes,Mailed Check,Fiber Optic,No,Yes,0,82.23,4302.49,0
CUST_0050,Female,0,No,No,25,One-Year,Yes,Bank Transfer (automatic),DSL,Yes,No,2,57.44,1380.03,0
CUST_0051,Male,0,No,No,7,Month-to-Month,Yes,Electronic Check,DSL,No,No,1,46.67,313.74,0
CUST_0052,Male,0,Yes,Yes,22,Two-Year,Yes,Electronic Check,No,No internet service,No internet service,0,20.3,467.18,0
CUST_0053,Female,0,No,No,61,Two-Year,Yes,Mailed Check,DSL,No,No,1,50.55,3033.87,0
CUST_0054,Female,0,No,No,43,Two-Year,Yes,Mailed Check,No,No internet service,No internet service,0,22.3,935.46,0
CUST_0055,Male,0,No,No,45,One-Year,Yes,Mailed Check,DSL,No,Yes,3,57.81,2483.8,0
CUST_0056,Female,0,Yes,Yes,32,Month-to-Month,No,Mailed Check,Fiber Optic,No,No,1,70.65,2187.08,1
CUST_0057,Female,0,Yes,Yes,20,Two-Year,Yes,Electronic Check,DSL,No,No,5,43.3,860.02,0
CUST_0058,Female,0,Yes,No,22,Month-to-Month,Yes,Electronic Check,No,No internet service,No internet service,2,18.5,400.57,0
CUST_0059,Female,0,Yes,No,40,Two-Year,Yes,Credit Card (automatic),Fiber Optic,Yes,No,1,86.0,3414.06,0
CUST_0060,Female,0,Yes,No,20,Month-to-Month,Yes,Electronic Check,Fiber Optic,Yes,No,2,85.98,1754.66,1
